,index,runNumber,areas,meanPows,lengths,run,index2
0,1,runA1,89.93282500000004,2.1406976744186035,43,A,0
1,2,runA2,90.8020250000002,2.1639534883720914,43,A,1
2,3,runA3,91.34825000000002,2.173255813953487,43,A,2
3,4,runA4,88.55057499999994,2.154761904761903,42,A,3
4,5,runA5,90.98877500000042,2.165116279069766,43,A,4
5,6,runA6,89.15252499999997,2.17142857142857,42,A,5
6,7,runA7,89.69774999999987,2.1348837209302314,43,A,6
7,8,runA8,92.15517500000051,2.1454545454545446,44,A,7
8,9,runA9,86.42077500000009,2.1095238095238082,42,A,8
9,10,runA10,87.49884999999952,2.132142857142856,42,A,9
10,1,runB1,89.40422499999994,2.12674418604651,43,B,10
11,2,runB2,87.15187499999996,2.1261904761904744,42,B,11
12,3,runB3,87.45279999999994,2.1309523809523796,42,B,12
13,4,runB4,88.45327499999986,2.154761904761903,42,B,13
14,5,runB5,87.25472499999988,2.13095238095238,42,B,14
15,6,runB6,88.4910750000001,2.1081395348837195,43,B,15
16,1,runC1,91.1565749999999,2.172093023255812,43,C,16
17,2,runC2,90.64122500000003,2.1558139534883707,43,C,17
18,3,runC3,89.81804999999987,2.1488372093023242,43,C,18
19,4,runC4,85.8061750000002,2.1439024390243886,41,C,19
20,5,runC5,87.60047499999992,2.1345238095238077,42,C,20
21,6,runC6,88.57032499999958,2.1595238095238085,42,C,21
22,7,runC7,89.59425000000013,2.131395348837208,43,C,22
23,8,runC8,88.20252499999995,2.1488095238095224,42,C,23
24,9,runC9,91.05759999999992,2.1662790697674406,43,C,24
25,10,runC10,88.61385000000065,2.159523809523808,42,C,25
26,1,runD1,85.12112499999998,2.128048780487805,41,D,26
27,2,runD2,87.14909999999999,2.1226190476190476,42,D,27
28,3,runD3,85.43714999999999,2.0821428571428573,42,D,28
29,4,runD4,87.72917499999996,2.1416666666666666,42,D,29
30,5,runD5,88.6328750000004,2.108139534883721,43,D,30
31,6,runD6,91.672775,2.131818181818181,44,D,31
32,7,runD7,89.4066499999998,2.126744186046511,43,D,32
33,8,runD8,92.76820000000014,2.1545454545454534,44,D,33
34,9,runD9,86.5297249999999,2.109523809523809,42,D,34
